Step	Accuracy	Time
0	0.0930	0.0413
1	0.1035	0.0260
2	0.1835	0.0260
3	0.2765	0.0280
4	0.3070	0.0250
5	0.3385	0.0270
6	0.3925	0.0260
7	0.4075	0.0260
8	0.4545	0.0250
9	0.4600	0.0260
10	0.4855	0.0250
11	0.5190	0.0250
12	0.5775	0.0260
13	0.6120	0.0250
14	0.6165	0.0260
15	0.6640	0.0264
16	0.7045	0.0280
17	0.7000	0.0260
18	0.7145	0.0260
19	0.7320	0.0250
20	0.7185	0.0260
21	0.7150	0.0270
22	0.7370	0.0260
23	0.7485	0.0270
24	0.7450	0.0250
25	0.7345	0.0280
26	0.7395	0.0250
27	0.7635	0.0270
28	0.7810	0.0250
29	0.7960	0.0260
30	0.7960	0.0250
31	0.7910	0.0280
32	0.7895	0.0280
33	0.7835	0.0240
34	0.7870	0.0260
35	0.7905	0.0250
36	0.7980	0.0250
37	0.8070	0.0260
38	0.8065	0.0260
39	0.8190	0.0280
40	0.8305	0.0250
41	0.8345	0.0250
42	0.8400	0.0250
43	0.8485	0.0270
44	0.8495	0.0260
45	0.8410	0.0280
46	0.8420	0.0270
47	0.8505	0.0260
48	0.8520	0.0250
49	0.8405	0.0260
50	0.8395	0.0250
51	0.8520	0.0240
52	0.8590	0.0250
53	0.8585	0.0270
54	0.8570	0.0240
55	0.8550	0.0260
56	0.8585	0.0250
57	0.8680	0.0260
58	0.8625	0.0260
59	0.8710	0.0270
60	0.8765	0.0250
61	0.8815	0.0240
62	0.8765	0.0260
63	0.8790	0.0250
64	0.8790	0.0250
65	0.8785	0.0270
66	0.8725	0.0250
67	0.8715	0.0250
68	0.8740	0.0258
69	0.8825	0.0267
70	0.8855	0.0250
71	0.8910	0.0250
72	0.8950	0.0250
73	0.9015	0.0270
74	0.8970	0.0260
75	0.8880	0.0270
76	0.8800	0.0250
77	0.8730	0.0260
78	0.8715	0.0260
79	0.8775	0.0260
80	0.8870	0.0250
81	0.8955	0.0260
82	0.9020	0.0260
83	0.9035	0.0260
84	0.9000	0.0240
85	0.9025	0.0260
86	0.9070	0.0250
87	0.9100	0.0270
88	0.9020	0.0250
89	0.8955	0.0250
90	0.8865	0.0250
91	0.8825	0.0270
92	0.8870	0.0270
93	0.8985	0.0260
94	0.9085	0.0270
95	0.9095	0.0250
96	0.9135	0.0260
97	0.9180	0.0260
98	0.9140	0.0250
99	0.9090	0.0270
100	0.9055	0.0270
101	0.9110	0.0260
102	0.9085	0.0260
103	0.9100	0.0250
104	0.9130	0.0250
105	0.9120	0.0260
106	0.9135	0.0270
107	0.9140	0.0260
108	0.9205	0.0250
109	0.9200	0.0244
110	0.9250	0.0240
111	0.9240	0.0250
112	0.9215	0.0250
113	0.9205	0.0240
114	0.9180	0.0250
115	0.9150	0.0250
116	0.9165	0.0260
117	0.9170	0.0250
118	0.9205	0.0260
119	0.9235	0.0240
120	0.9260	0.0250
121	0.9220	0.0260
122	0.9235	0.0280
123	0.9265	0.0270
124	0.9295	0.0260
125	0.9325	0.0260
126	0.9305	0.0240
127	0.9290	0.0245
128	0.9260	0.0260
129	0.9240	0.0276
130	0.9255	0.0270
131	0.9255	0.0250
132	0.9250	0.0240
133	0.9255	0.0260
134	0.9265	0.0260
135	0.9265	0.0250
136	0.9315	0.0250
137	0.9315	0.0260
138	0.9330	0.0250
139	0.9335	0.0250
140	0.9325	0.0250
141	0.9280	0.0260
142	0.9265	0.0260
143	0.9265	0.0270
144	0.9290	0.0270
145	0.9325	0.0280
146	0.9345	0.0260
147	0.9345	0.0270
148	0.9350	0.0250
149	0.9355	0.0270
150	0.9375	0.0250
151	0.9370	0.0260
152	0.9375	0.0270
153	0.9375	0.0260
154	0.9380	0.0250
155	0.9380	0.0276
156	0.9375	0.0250
157	0.9400	0.0250
158	0.9420	0.0260
159	0.9390	0.0270
160	0.9395	0.0280
161	0.9400	0.0260
162	0.9380	0.0250
163	0.9395	0.0250
164	0.9405	0.0250
165	0.9430	0.0260
166	0.9430	0.0250
167	0.9395	0.0270
168	0.9375	0.0250
169	0.9395	0.0260
170	0.9425	0.0260
171	0.9425	0.0260
172	0.9425	0.0260
173	0.9450	0.0260
174	0.9420	0.0276
175	0.9420	0.0280
176	0.9430	0.0250
177	0.9455	0.0260
178	0.9465	0.0250
179	0.9445	0.0260
180	0.9460	0.0250
181	0.9480	0.0260
182	0.9460	0.0250
183	0.9450	0.0270
184	0.9460	0.0230
185	0.9460	0.0260
186	0.9450	0.0250
187	0.9460	0.0250
188	0.9490	0.0250
189	0.9500	0.0260
190	0.9490	0.0250
191	0.9510	0.0270
192	0.9500	0.0250
193	0.9500	0.0260
194	0.9500	0.0270
195	0.9520	0.0260
196	0.9515	0.0240
197	0.9520	0.0250
198	0.9520	0.0250
199	0.9520	0.0260
200	0.9535	0.0250
