Step	Accuracy	Time
0	0.3860	0.0147
1	0.4200	0.0197
2	0.4840	0.0020
3	0.5300	0.0032
4	0.5335	0.0020
5	0.5885	0.0020
6	0.6350	0.0030
7	0.6505	0.0020
8	0.6700	0.0030
9	0.6815	0.0020
10	0.6940	0.0030
11	0.7160	0.0031
12	0.7165	0.0020
13	0.7195	0.0020
14	0.7250	0.0020
15	0.7210	0.0030
16	0.7065	0.0020
17	0.7045	0.0021
18	0.7005	0.0032
19	0.7060	0.0031
20	0.7175	0.0030
21	0.7325	0.0030
22	0.7490	0.0030
23	0.7645	0.0030
24	0.7860	0.0020
25	0.7905	0.0040
26	0.7890	0.0030
27	0.7815	0.0030
28	0.7760	0.0030
29	0.7720	0.0020
30	0.7860	0.0020
31	0.7895	0.0020
32	0.7955	0.0020
33	0.7980	0.0020
34	0.8010	0.0030
35	0.8005	0.0020
36	0.8035	0.0030
37	0.8020	0.0030
38	0.8010	0.0030
39	0.8005	0.0030
40	0.8045	0.0035
41	0.8110	0.0036
42	0.8080	0.0030
43	0.8080	0.0030
44	0.8090	0.0030
45	0.8155	0.0030
46	0.8225	0.0035
47	0.8250	0.0030
48	0.8295	0.0030
49	0.8340	0.0030
50	0.8350	0.0020
51	0.8380	0.0030
52	0.8355	0.0020
53	0.8305	0.0020
54	0.8360	0.0020
55	0.8355	0.0030
56	0.8460	0.0020
57	0.8520	0.0030
58	0.8535	0.0020
59	0.8520	0.0030
60	0.8490	0.0021
61	0.8465	0.0020
62	0.8395	0.0031
63	0.8360	0.0025
64	0.8370	0.0020
65	0.8395	0.0040
66	0.8405	0.0020
67	0.8445	0.0030
68	0.8410	0.0030
69	0.8325	0.0030
70	0.8230	0.0030
71	0.8200	0.0034
72	0.8170	0.0020
73	0.8245	0.0021
74	0.8380	0.0020
75	0.8455	0.0020
76	0.8495	0.0030
77	0.8485	0.0020
78	0.8440	0.0030
79	0.8415	0.0030
80	0.8305	0.0026
81	0.8275	0.0026
82	0.8280	0.0032
83	0.8310	0.0030
84	0.8355	0.0030
85	0.8385	0.0020
86	0.8470	0.0030
87	0.8580	0.0030
88	0.8600	0.0030
89	0.8550	0.0030
90	0.8515	0.0030
91	0.8480	0.0030
92	0.8445	0.0030
93	0.8385	0.0030
94	0.8380	0.0020
95	0.8400	0.0020
96	0.8450	0.0020
97	0.8480	0.0020
98	0.8505	0.0020
99	0.8535	0.0020
100	0.8560	0.0020
101	0.8575	0.0020
102	0.8530	0.0030
103	0.8480	0.0031
104	0.8465	0.0025
105	0.8485	0.0030
106	0.8500	0.0020
107	0.8550	0.0020
108	0.8590	0.0030
109	0.8620	0.0030
110	0.8700	0.0030
111	0.8700	0.0030
112	0.8700	0.0030
113	0.8660	0.0030
114	0.8620	0.0030
115	0.8615	0.0030
116	0.8615	0.0030
117	0.8595	0.0022
118	0.8595	0.0021
119	0.8630	0.0020
120	0.8640	0.0020
121	0.8695	0.0030
122	0.8715	0.0030
123	0.8700	0.0020
124	0.8705	0.0020
125	0.8710	0.0027
126	0.8720	0.0030
127	0.8730	0.0025
128	0.8730	0.0030
129	0.8725	0.0020
130	0.8765	0.0030
131	0.8725	0.0031
132	0.8720	0.0031
133	0.8655	0.0020
134	0.8565	0.0031
135	0.8440	0.0026
136	0.8380	0.0030
137	0.8365	0.0030
138	0.8400	0.0020
139	0.8440	0.0030
140	0.8560	0.0030
141	0.8620	0.0030
142	0.8670	0.0030
143	0.8680	0.0021
144	0.8715	0.0020
145	0.8730	0.0020
146	0.8735	0.0030
147	0.8710	0.0020
148	0.8670	0.0020
149	0.8620	0.0030
150	0.8555	0.0030
151	0.8550	0.0030
152	0.8505	0.0032
153	0.8490	0.0025
154	0.8515	0.0031
155	0.8615	0.0020
156	0.8650	0.0035
157	0.8670	0.0020
158	0.8670	0.0030
159	0.8535	0.0020
160	0.8390	0.0020
161	0.8330	0.0030
162	0.8390	0.0020
163	0.8445	0.0020
164	0.8510	0.0020
165	0.8610	0.0031
166	0.8735	0.0021
167	0.8765	0.0025
168	0.8785	0.0020
169	0.8745	0.0020
170	0.8655	0.0030
171	0.8630	0.0040
172	0.8625	0.0030
173	0.8645	0.0020
174	0.8620	0.0030
175	0.8625	0.0030
176	0.8635	0.0030
177	0.8615	0.0031
178	0.8590	0.0030
179	0.8565	0.0030
180	0.8620	0.0020
181	0.8595	0.0020
182	0.8615	0.0020
183	0.8605	0.0031
184	0.8605	0.0030
185	0.8670	0.0020
186	0.8755	0.0020
187	0.8855	0.0020
188	0.8830	0.0017
189	0.8840	0.0026
190	0.8825	0.0020
191	0.8795	0.0020
192	0.8765	0.0030
193	0.8730	0.0030
194	0.8685	0.0030
195	0.8675	0.0030
196	0.8695	0.0030
197	0.8700	0.0040
198	0.8700	0.0030
199	0.8760	0.0030
200	0.8795	0.0030
201	0.8815	0.0030
202	0.8805	0.0030
203	0.8815	0.0022
204	0.8805	0.0020
205	0.8755	0.0020
206	0.8740	0.0020
207	0.8695	0.0030
208	0.8675	0.0030
209	0.8630	0.0010
210	0.8645	0.0020
211	0.8605	0.0020
212	0.8645	0.0020
213	0.8655	0.0020
214	0.8650	0.0030
215	0.8620	0.0030
216	0.8610	0.0030
217	0.8600	0.0030
218	0.8610	0.0030
219	0.8605	0.0030
220	0.8645	0.0030
221	0.8650	0.0030
222	0.8675	0.0030
223	0.8710	0.0030
224	0.8705	0.0030
225	0.8705	0.0030
226	0.8745	0.0020
227	0.8790	0.0030
228	0.8825	0.0025
229	0.8810	0.0020
230	0.8775	0.0021
231	0.8765	0.0030
232	0.8750	0.0020
233	0.8755	0.0024
234	0.8775	0.0020
235	0.8815	0.0030
236	0.8795	0.0030
237	0.8835	0.0030
238	0.8785	0.0030
239	0.8810	0.0030
240	0.8820	0.0030
241	0.8810	0.0030
242	0.8770	0.0040
243	0.8770	0.0030
244	0.8735	0.0040
245	0.8710	0.0030
246	0.8675	0.0020
247	0.8645	0.0020
248	0.8590	0.0032
249	0.8605	0.0031
250	0.8625	0.0020
251	0.8595	0.0020
252	0.8600	0.0030
253	0.8610	0.0030
254	0.8610	0.0020
255	0.8640	0.0031
256	0.8635	0.0021
257	0.8635	0.0020
258	0.8670	0.0030
259	0.8700	0.0020
260	0.8755	0.0030
261	0.8720	0.0034
262	0.8700	0.0020
263	0.8680	0.0030
264	0.8675	0.0030
265	0.8630	0.0020
266	0.8650	0.0030
267	0.8635	0.0020
268	0.8650	0.0030
269	0.8665	0.0030
270	0.8690	0.0020
271	0.8650	0.0020
272	0.8630	0.0021
273	0.8625	0.0025
274	0.8620	0.0020
275	0.8630	0.0030
276	0.8635	0.0030
277	0.8620	0.0020
278	0.8650	0.0020
279	0.8610	0.0024
280	0.8635	0.0033
281	0.8660	0.0020
282	0.8730	0.0030
283	0.8735	0.0030
284	0.8715	0.0020
285	0.8715	0.0030
286	0.8730	0.0030
287	0.8735	0.0040
288	0.8745	0.0030
289	0.8775	0.0030
290	0.8765	0.0030
