Step	Accuracy	Time
0	0.1015	0.0465
1	0.1015	0.0300
2	0.1020	0.0290
3	0.1520	0.0344
4	0.2075	0.0320
5	0.2035	0.0320
6	0.2940	0.0325
7	0.3260	0.0286
8	0.3375	0.0280
9	0.3645	0.0270
10	0.2750	0.0342
11	0.4155	0.0311
12	0.4160	0.0302
13	0.4110	0.0300
14	0.4245	0.0280
15	0.4820	0.0260
16	0.5250	0.0310
17	0.5130	0.0305
18	0.5235	0.0296
19	0.5305	0.0290
20	0.5320	0.0260
21	0.5350	0.0260
22	0.5330	0.0290
23	0.5360	0.0295
24	0.5410	0.0305
25	0.5595	0.0275
26	0.5375	0.0265
27	0.5610	0.0295
28	0.5470	0.0295
29	0.5830	0.0290
30	0.5920	0.0280
31	0.5615	0.0279
32	0.5915	0.0260
33	0.6005	0.0300
34	0.6225	0.0285
35	0.6460	0.0290
36	0.6440	0.0290
37	0.6405	0.0260
38	0.6555	0.0280
39	0.6620	0.0290
40	0.6700	0.0260
41	0.6635	0.0300
42	0.6650	0.0330
43	0.6675	0.0270
44	0.6805	0.0280
45	0.6585	0.0330
46	0.6590	0.0280
47	0.6955	0.0270
48	0.7190	0.0414
49	0.7160	0.0280
50	0.6995	0.0300
51	0.7055	0.0290
52	0.7075	0.0260
53	0.7145	0.0280
54	0.7325	0.0300
55	0.7410	0.0340
56	0.7555	0.0277
57	0.7705	0.0370
58	0.7750	0.0270
59	0.7640	0.0290
60	0.7570	0.0420
61	0.7435	0.0368
62	0.7520	0.0290
63	0.7600	0.0280
64	0.7445	0.0310
65	0.7750	0.0285
66	0.7810	0.0280
67	0.7700	0.0270
68	0.7640	0.0280
69	0.7940	0.0260
70	0.8030	0.0280
71	0.7830	0.0270
72	0.8095	0.0265
73	0.8080	0.0280
74	0.8080	0.0270
75	0.8315	0.0306
76	0.8365	0.0310
77	0.8275	0.0280
78	0.8185	0.0280
79	0.8420	0.0281
80	0.8440	0.0280
81	0.8395	0.0261
82	0.8315	0.0286
83	0.8510	0.0290
84	0.8625	0.0292
85	0.8460	0.0285
86	0.8265	0.0266
87	0.8445	0.0285
88	0.8550	0.0260
89	0.8650	0.0262
90	0.8605	0.0260
91	0.8605	0.0275
92	0.8680	0.0280
93	0.8550	0.0255
94	0.8510	0.0265
95	0.8525	0.0275
96	0.8785	0.0305
97	0.8720	0.0305
98	0.8620	0.0275
99	0.8590	0.0275
100	0.8620	0.0295
101	0.8805	0.0275
102	0.8835	0.0270
103	0.8805	0.0305
104	0.8720	0.0265
105	0.8725	0.0285
106	0.8840	0.0280
107	0.8595	0.0270
108	0.8885	0.0270
109	0.8905	0.0300
110	0.8755	0.0290
111	0.8780	0.0270
112	0.8730	0.0330
113	0.8735	0.0286
114	0.8760	0.0260
115	0.8800	0.0300
116	0.8800	0.0270
117	0.8890	0.0244
118	0.8910	0.0275
119	0.8960	0.0250
120	0.9015	0.0262
121	0.8985	0.0281
122	0.8945	0.0285
123	0.8985	0.0240
124	0.8905	0.0290
125	0.8930	0.0240
126	0.8930	0.0260
127	0.8975	0.0300
128	0.9000	0.0260
129	0.9115	0.0260
130	0.9055	0.0290
131	0.9060	0.0270
132	0.9070	0.0266
133	0.9080	0.0290
134	0.9090	0.0270
135	0.9030	0.0267
136	0.8980	0.0290
137	0.8980	0.0260
138	0.9010	0.0280
139	0.9055	0.0270
140	0.9085	0.0430
141	0.9180	0.0306
142	0.9220	0.0310
143	0.9210	0.0265
144	0.9110	0.0262
145	0.9165	0.0285
146	0.9210	0.0295
147	0.9165	0.0265
148	0.9185	0.0297
149	0.9205	0.0305
150	0.9180	0.0335
151	0.9200	0.0300
152	0.9250	0.0260
153	0.9265	0.0296
154	0.9250	0.0300
155	0.9200	0.0280
156	0.9235	0.0290
157	0.9235	0.0300
158	0.9225	0.0310
159	0.9185	0.0280
160	0.9130	0.0248
161	0.9185	0.0230
162	0.9170	0.0280
163	0.9185	0.0300
164	0.9235	0.0296
165	0.9295	0.0310
166	0.9385	0.0240
167	0.9365	0.0310
168	0.9330	0.0260
169	0.9415	0.0280
170	0.9425	0.0280
171	0.9305	0.0270
172	0.9285	0.0270
173	0.9220	0.0295
174	0.9200	0.0246
175	0.9255	0.0260
176	0.9245	0.0300
177	0.9265	0.0260
178	0.9270	0.0280
179	0.9325	0.0290
180	0.9325	0.0250
181	0.9250	0.0280
182	0.9180	0.0280
183	0.9165	0.0240
184	0.9165	0.0240
185	0.9280	0.0445
186	0.9350	0.0250
187	0.9295	0.0255
188	0.9205	0.0325
189	0.9215	0.0290
190	0.9330	0.0240
191	0.9420	0.0260
192	0.9395	0.0250
193	0.9400	0.0275
194	0.9365	0.0265
195	0.9390	0.0234
196	0.9450	0.0240
197	0.9445	0.0240
198	0.9425	0.0230
199	0.9425	0.0250
200	0.9425	0.0250
201	0.9405	0.0240
202	0.9420	0.0290
203	0.9425	0.0280
204	0.9445	0.0230
205	0.9405	0.0235
206	0.9410	0.0245
207	0.9395	0.0255
208	0.9495	0.0250
209	0.9485	0.0350
210	0.9350	0.0270
211	0.9385	0.0250
212	0.9505	0.0280
213	0.9555	0.0235
214	0.9475	0.0236
215	0.9445	0.0310
216	0.9435	0.0236
217	0.9385	0.0240
218	0.9385	0.0250
219	0.9435	0.0270
220	0.9450	0.0255
221	0.9415	0.0305
222	0.9435	0.0244
223	0.9390	0.0235
224	0.9355	0.0280
225	0.9430	0.0230
226	0.9500	0.0250
227	0.9520	0.0270
228	0.9525	0.0250
229	0.9520	0.0230
230	0.9550	0.0250
231	0.9550	0.0230
232	0.9555	0.0250
233	0.9540	0.0265
234	0.9520	0.0121
