Step	Accuracy	Time
1	0.1498	88.0551
2	0.2822	87.3928
3	0.2967	88.091
4	0.4156	88.3955
5	0.4294	88.8443
6	0.4297	88.6119
7	0.4797	88.3682
8	0.4715	88.5212
9	0.4621	88.5222
10	0.5069	88.6324
11	0.5097	88.7876
12	0.5421	88.4013
13	0.4794	88.7309
14	0.5145	99.0404
15	0.5655	96.1378
16	0.5098	88.701
17	0.5277	88.9856
18	0.5255	89.1731
19	0.5006	89.0883
20	0.5401	89.157
21	0.5105	88.9884
22	0.5466	89.0196
23	0.5675	89.1043
24	0.5443	89.2042
25	0.5606	88.7638
26	0.5612	89.1958
27	0.5905	88.8624
28	0.5447	89.1233
29	0.5496	88.9351
30	0.5805	89.0796
31	0.5143	89.1482
32	0.5563	88.9365
33	0.5794	89.4322
34	0.5812	89.1406
35	0.5459	89.0422
36	0.5425	88.9941
37	0.5796	89.0516
38	0.5911	89.0124
39	0.5788	90.5538
40	0.5589	92.2515
41	0.5495	88.9664
42	0.5867	89.0729
43	0.5263	89.0713
44	0.5466	88.8058
45	0.5802	88.978
46	0.5605	88.7811
47	0.5665	88.938
48	0.5501	89.0147
49	0.5984	89.0131
50	0.5794	88.9914
51	0.5831	88.8078
52	0.5933	89.01
53	0.5823	88.8395
54	0.5835	89.1377
55	0.5813	89.2439
56	0.5665	88.7852
57	0.6056	89.0075
58	0.5847	89.0786
59	0.5716	89.2241
60	0.7459	89.1239
61	0.7539	88.8817
62	0.7532	88.8141
63	0.7521	89.0871
64	0.7431	88.6369
65	0.7437	88.7886
66	0.7401	89.0897
67	0.7382	89.1839
68	0.7343	89.0876
69	0.728	88.9715
70	0.7317	89.0713
71	0.7244	88.9198
72	0.7251	88.7376
73	0.7263	88.7396
74	0.7147	89.7108
75	0.7192	88.7936
76	0.7239	89.138
77	0.7038	89.4472
78	0.7164	89.2931
79	0.7093	89.2198
80	0.7097	89.169
81	0.7088	89.0768
82	0.7222	89.3007
83	0.7302	89.0723
84	0.7164	89.0223
85	0.7171	89.5404
86	0.7296	89.1376
87	0.7129	88.9463
88	0.7132	89.0742
89	0.7103	89.2217
90	0.7119	89.4216
91	0.7086	88.9595
92	0.7092	88.7241
93	0.7156	88.9441
94	0.7183	88.9583
95	0.7021	88.8506
96	0.7102	89.19
97	0.7069	89.2401
98	0.7164	88.8462
99	0.718	89.2728
100	0.7192	89.1896
