Step	Accuracy	Time
0	0.1330	0.0280
1	0.2060	0.0110
2	0.2645	0.0183
3	0.3070	0.0030
4	0.3505	0.0110
5	0.3970	0.0330
6	0.4435	0.0018
7	0.4855	0.0270
8	0.5285	0.0010
9	0.5635	0.0050
10	0.5975	0.0151
11	0.6140	0.0010
12	0.6305	0.0280
13	0.6415	0.0090
14	0.6555	0.0010
15	0.6670	0.0110
16	0.6795	0.0160
17	0.6915	0.0125
18	0.7030	0.0120
19	0.7100	0.0010
20	0.7155	0.0100
21	0.7220	0.0010
22	0.7255	0.0245
23	0.7325	0.0020
24	0.7370	0.0375
25	0.7420	0.0130
26	0.7450	0.0020
27	0.7485	0.0210
28	0.7525	0.0070
29	0.7550	0.0180
30	0.7590	0.0015
31	0.7605	0.0090
32	0.7630	0.0010
33	0.7655	0.0120
34	0.7665	0.0230
35	0.7690	0.0140
36	0.7690	0.0100
37	0.7680	0.0015
38	0.7695	0.0190
39	0.7690	0.0010
40	0.7695	0.0450
41	0.7695	0.0055
42	0.7705	0.0010
43	0.7715	0.0405
44	0.7735	0.0030
45	0.7760	0.0080
46	0.7785	0.0200
47	0.7830	0.0190
48	0.7825	0.0010
49	0.7830	0.0314
50	0.7855	0.0130
51	0.7895	0.0020
52	0.7915	0.0180
53	0.7925	0.0075
54	0.7930	0.0000
55	0.7935	0.0325
56	0.7950	0.0020
57	0.7965	0.0160
58	0.7970	0.0111
