Step	Accuracy	Time
1	0.0726	22.5752
2	0.1386	22.0873
3	0.1511	21.8729
4	0.2216	22.171
5	0.2357	21.8981
6	0.2494	22.0525
7	0.2364	22.0877
8	0.2828	22.0497
9	0.3022	22.0414
10	0.3223	21.9678
11	0.3486	22.3305
12	0.3115	22.0668
13	0.3388	22.0934
14	0.3482	22.0726
15	0.2912	22.0942
16	0.3548	22.3765
17	0.2561	22.2708
18	0.3415	22.3858
19	0.3874	22.068
20	0.3366	22.157
21	0.3724	22.291
22	0.3534	22.185
23	0.3686	21.9754
24	0.3914	21.8251
25	0.3848	21.9367
26	0.4044	21.6823
27	0.3714	21.8082
28	0.3808	21.7451
29	0.3189	22.1912
30	0.3613	21.8356
31	0.4352	21.6266
32	0.4205	21.7866
33	0.3909	21.4784
34	0.4225	21.6541
35	0.3951	21.7633
36	0.402	21.6317
37	0.3981	21.5627
38	0.3953	21.5543
39	0.3101	21.7545
40	0.3841	21.6438
41	0.3858	22.1242
42	0.3259	21.9054
43	0.41	21.8322
44	0.344	22.1535
45	0.3894	22.0296
46	0.413	22.0956
47	0.3849	22.0787
48	0.4215	22.1597
49	0.3542	22.3853
50	0.3306	22.332
51	0.3393	22.3338
52	0.416	22.4473
53	0.3512	22.418
54	0.3771	22.6461
55	0.3438	22.4612
56	0.3522	21.9806
57	0.3812	22.3669
58	0.3412	22.5561
59	0.3266	22.2831
60	0.5695	22.1814
61	0.5783	21.757
62	0.5724	22.1117
63	0.5702	21.9499
64	0.5726	21.9639
65	0.5751	21.7294
66	0.5853	21.6925
67	0.5818	22.0809
68	0.5847	21.8024
69	0.58	21.7977
70	0.5763	21.6557
71	0.5844	21.8027
72	0.566	21.9784
73	0.5695	21.9615
74	0.5628	21.9463
75	0.574	21.8443
76	0.5476	22.0466
77	0.5695	21.7912
78	0.5647	21.9189
79	0.5721	21.9316
80	0.5129	21.7509
81	0.5521	22.0652
82	0.5651	22.0944
83	0.5648	22.3955
84	0.5553	22.1485
85	0.5428	22.2966
86	0.5534	22.3164
87	0.5358	22.2458
88	0.5393	22.4348
89	0.5722	22.2168
90	0.5627	22.2725
91	0.5742	22.1944
92	0.554	22.2361
93	0.5534	22.1644
94	0.5637	22.1624
95	0.5799	22.2645
96	0.5666	22.1383
97	0.5382	22.1698
98	0.5621	22.1322
99	0.5834	22.3101
100	0.5866	22.3223
101	0.5824	22.2556
102	0.567	22.3683
103	0.5903	22.1925
