Step	Accuracy	Time
1	0.0935	51.3827
2	0.2159	51.615
3	0.3015	52.2359
4	0.3652	52.2707
5	0.4376	52.501
6	0.4336	52.5164
7	0.4	52.5766
8	0.4792	52.5378
9	0.4591	52.6815
10	0.4975	52.6531
11	0.5313	52.7342
12	0.4898	52.6693
13	0.5267	52.6033
14	0.4682	52.6169
15	0.5128	52.577
16	0.5104	52.5185
17	0.561	52.5828
18	0.5476	52.6056
19	0.5221	52.7103
20	0.5247	52.7172
21	0.5557	52.5867
22	0.5196	52.7619
23	0.5464	52.6224
24	0.5745	52.5786
25	0.5435	52.6177
26	0.5628	52.7955
27	0.5378	52.6497
28	0.553	52.7051
29	0.554	52.7327
30	0.571	52.4763
31	0.5523	52.6481
32	0.5126	52.6757
33	0.5624	52.6784
34	0.5706	52.5292
35	0.5748	52.5467
36	0.5879	52.6194
37	0.5761	52.5592
38	0.56	52.7774
39	0.5371	52.549
40	0.5509	52.6647
41	0.5661	52.7233
42	0.5986	52.5863
43	0.5934	52.7405
44	0.5471	52.4654
45	0.5618	52.5339
46	0.5827	52.5008
47	0.5462	52.7405
48	0.585	52.7657
49	0.5742	52.5704
50	0.5558	52.6239
51	0.5848	52.4679
52	0.5798	52.9046
53	0.5724	52.617
54	0.5836	53.7834
55	0.6116	52.5932
56	0.5522	52.6376
57	0.5828	52.5496
58	0.5451	52.5075
59	0.5777	52.6869
60	0.736	52.5785
61	0.737	52.5326
62	0.7418	52.4969
63	0.7389	52.4908
64	0.7314	52.4663
65	0.7253	52.6011
66	0.7284	52.4828
67	0.7197	52.5388
68	0.7197	52.5468
69	0.7053	52.5654
70	0.7145	52.575
71	0.7088	52.4755
72	0.7132	52.6377
73	0.7054	52.6096
74	0.7085	52.4405
75	0.6872	52.5869
76	0.6863	52.4844
77	0.6955	52.4675
78	0.7031	52.659
79	0.696	52.5022
80	0.6896	52.6248
81	0.7016	52.5192
82	0.6883	52.8531
83	0.6825	52.5313
84	0.6861	52.7003
85	0.6968	52.7369
86	0.6886	52.5665
87	0.7051	52.6805
88	0.6853	52.8009
89	0.7077	52.7156
90	0.6689	52.7634
91	0.6881	52.8239
92	0.6848	52.5282
93	0.6856	52.5847
94	0.6938	52.8416
95	0.6906	52.78
96	0.6818	52.6496
97	0.6952	52.6614
98	0.6877	52.8021
99	0.6956	53.759
100	0.6914	53.9122
