Step	Accuracy	Time
0	0.1157	35.1228
1	0.2199	36.372
2	0.2934	36.6111
3	0.3182	36.7028
4	0.3848	36.949
5	0.397	36.6507
6	0.4064	36.8265
7	0.4317	36.2946
8	0.4283	36.4907
9	0.447	37.5004
10	0.4627	36.6274
11	0.468	37.1092
12	0.469	37.5093
13	0.4616	37.3969
14	0.4631	36.941
15	0.4706	37.2536
16	0.458	36.451
17	0.4718	37.0521
18	0.5018	37.0476
19	0.5167	37.2734
20	0.497	37.2983
21	0.4837	34.8594
22	0.494	33.2268
23	0.505	32.892
24	0.4819	33.7033
25	0.5057	33.5902
26	0.4639	33.5685
27	0.4982	33.8505
28	0.5099	34.3287
29	0.4994	33.7459
30	0.518	33.9891
31	0.5094	34.3514
32	0.5199	33.4708
33	0.471	33.6227
34	0.4987	33.0916
35	0.4956	33.5031
36	0.487	33.342
37	0.4733	33.8864
38	0.4955	34.5938
39	0.4996	33.7186
40	0.519	34.3694
41	0.4957	33.8343
42	0.5132	33.4968
43	0.5224	33.2197
44	0.4908	33.2018
45	0.5104	33.2716
46	0.5108	33.7168
47	0.5058	34.1743
48	0.4983	34.5461
49	0.5063	33.7996
50	0.509	34.4107
51	0.534	33.3167
52	0.4921	33.8945
53	0.5033	33.2703
54	0.4997	33.5608
55	0.4826	33.7623
56	0.5222	33.9954
57	0.527	34.0091
58	0.5259	34.1898
59	0.6535	33.9733
60	0.6599	33.1775
61	0.6592	33.9478
62	0.6492	34.0269
63	0.6641	33.8279
64	0.6527	34.0325
65	0.6481	33.7657
66	0.647	33.9808
67	0.655	33.5515
68	0.6454	34.2323
69	0.6492	34.255
70	0.6327	33.6466
71	0.6514	33.4768
72	0.6361	33.6071
73	0.6521	33.5931
74	0.6443	34.3951
75	0.6445	34.441
76	0.6349	33.428
77	0.6428	33.8221
78	0.6479	34.3123
79	0.6415	33.0924
80	0.6416	33.4991
81	0.6395	33.5083
82	0.6484	33.8335
83	0.6482	33.5721
84	0.6398	33.3683
85	0.6359	33.7156
86	0.6517	35.9779
87	0.6405	34.094
88	0.638	33.1635
89	0.6454	33.6102
90	0.6262	33.6315
91	0.6384	34.0628
92	0.6392	33.9557
93	0.6476	34.3247
94	0.6369	33.9365
95	0.6348	33.7644
96	0.6364	33.4572
97	0.6489	32.6822
98	0.6403	33.679
99	0.6384	34.4251
