Step	Accuracy	Time
1	0.0578	21.9894
2	0.085	22.0208
3	0.1031	25.2467
4	0.1417	24.3203
5	0.1686	20.7863
6	0.1772	20.7929
7	0.1907	20.7633
8	0.2444	20.8701
9	0.2621	20.8933
10	0.3087	20.8443
11	0.3017	20.9307
12	0.3159	20.8007
13	0.3142	20.7781
14	0.3129	20.958
15	0.3243	20.8183
16	0.3115	20.8857
17	0.3354	20.8011
18	0.3453	20.8075
19	0.3593	20.794
20	0.3876	20.7985
21	0.4145	20.8722
22	0.418	20.8171
23	0.3949	20.9351
24	0.3923	20.8459
25	0.4106	20.8781
26	0.4021	20.8789
27	0.3811	20.8293
28	0.4147	20.872
29	0.4416	20.8526
30	0.4306	20.8857
31	0.4413	20.8937
32	0.4588	20.797
33	0.417	20.8912
34	0.443	20.8303
35	0.4049	20.8468
36	0.4316	21.0439
37	0.3726	20.7917
38	0.4507	20.8726
39	0.403	21.0675
40	0.4162	21.0534
41	0.4655	21.0599
42	0.458	20.9448
43	0.4252	21.0181
44	0.4576	21.0366
45	0.4624	20.8705
46	0.4659	20.9924
47	0.4602	20.8705
48	0.4814	20.852
49	0.4255	21.0214
50	0.4907	21.049
51	0.4245	20.8795
52	0.4545	21.0141
53	0.4214	21.0178
54	0.4325	21.041
55	0.4719	21.2492
56	0.4656	21.6949
57	0.4781	21.4964
58	0.4525	20.9666
59	0.4333	20.8079
60	0.6325	20.832
61	0.6412	20.8528
62	0.6386	20.8577
63	0.6461	20.8158
64	0.6394	20.9582
65	0.6457	20.9188
66	0.6436	20.793
67	0.6473	20.8561
68	0.6322	20.8375
69	0.63	20.8394
70	0.6553	20.8175
71	0.632	20.8301
72	0.6253	20.8472
73	0.632	20.8181
74	0.6152	20.7932
75	0.6387	20.9906
76	0.6269	20.787
77	0.6334	20.8373
78	0.6244	20.839
79	0.6089	20.8277
80	0.6349	21.2359
81	0.638	20.8323
82	0.6401	20.8557
83	0.6215	20.8617
84	0.6387	20.8551
85	0.6315	20.7988
86	0.6259	20.81
87	0.6296	20.8896
88	0.6344	20.783
89	0.6296	20.8124
90	0.6196	20.7749
91	0.6444	20.8926
92	0.6357	20.8369
93	0.6229	20.8153
94	0.6274	20.8604
95	0.6173	21.1017
96	0.6271	20.8601
97	0.6414	20.9021
98	0.6335	20.8576
99	0.6406	20.8967
100	0.6093	20.873
